Speaker,Dialogue
Phoebe,"Oh yes, yes, yes you can. Just say, um, 'Phoebe, my work is my life and that's what I have to do right now'. And I say 'your work?! Your work?! How can you say that?!'. And then you say, um, 'it's tearing me apart, but I have no choice. Can't you understand that?'. And I say 'no! No! I can't understand that!'."
David,"Uh, ow."
Phoebe,"Ooh, sorry. Um, and, and then you put your arms around me. And then you put your arms around me. And, um, and then you tell me that you love me and you'll never forget me."
David,I'll never forget you.
Phoebe,"And then you say that it's almost midnight and you have to go because you don't wanna start the new year with me if you can't finish it. I'm gonna miss you. You scientist guy. Dick Clark: Hi, this is Dick Clark, live in Times Square. We're in a virtual snowstorm of confetti here in Times Square..."
Joey,"There y'go, kids."
Chandler,And then the peacock bit me. Please kiss me at midnight.
Joey,You seen Sandy?
Chandler,"Ooh. Uh, I don't know how to tell you this, but she's in Monica's bedroom, getting it on with Max, that scientist geek. Ooh, look at that, I did know how to tell you."
Rachel,"Vrrbddy, the bll is drrbing."
Rachel,The bll is drrbing! Dick Clark: In twenty seconds it'll be midnight...
Chandler,And the moment of joy is upon us.
Joey,Looks like that no date pact thing worked out.
Phoebe,Everybody looks so happy. I hate that.
Monica,Not everybody's happy. Hey Bobby!
Chandler,"Y'know, I uh.. just thought I'd throw this out here. I'm no math whiz, but I do believe there are three girls and three guys right here."
Phoebe,I dunno. I don't feel like kissing anyone tonight.
Rachel,I can't kiss anyone.
Monica,So I'm kissing everyone?
Joey,"Nonono, you can't kiss Ross, that's your brother."
Ross,Perfect. Perfect. So now everybody's getting kissed but me.
Chandler,"Alright, somebody kiss me. Somebody kiss me, it's midnight! Somebody kiss me!"
Joey,Alrightalrightalright. There. Closing Credits
Ross,"I wanted this to work so much. I mean I'm still in there, changing his diapers, pickin' his fleas... but he's just phoning it in. Just so hard to accept the fact that something you love so much doesn't love you back."
Rachel,...I think that bitch cracked my tooth. End
Monica,"Oh, the way you crushed Mike at ping pong was such a turn-on.You wanna...?"
Chandler,"You know, I'd love to, but I'm a little tired."
Monica,I'll put a pillowcase over my head.
Chandler,You're on!
Phoebe,Hey!
Monica,What's up?
Phoebe,"Well, okay, Mike's taking a shower, which by the way there's no law against. And then we're gonna grab some food, so if you want..."
Ross,... finally...
Phoebe,Is that Ross?
Monica,"Yeah, you can hear everything through these stupid walls."
Phoebe,Sounds like he's with someone.
Chandler,"He could be alone. This morning I heard him do push-ups, and then talk to his triceps."
Monica,"Wait a minute, I think Phoebe's right. You know I hear someone else in there with him."
Charlie,Ooh... Dr. Geller!
Ross,"God, you're amazing... I didn't even have to ask you to call me that."
Monica,"Oh my God, that's Charlie!"
Chandler,She's cheating on Joey with Ross!
Phoebe,Oh that tart... floozy... giant...
Monica,I'm not sure about this.
Phoebe,"Yeah, you're right. This is none of our business."
Monica,No I'm not sure that it's the best way to hear everything. Someone get me a glass!
Phoebe,"Oh, I'm not gonna do this, okay? I'm not gonna eavesdrop on my friend."
Rachel,Ooh... I love Barbados!
Joey,Ooh... I can't believe I'm kissing you. I'm kissing Rachel!
Rachel,"I know, I'm her!"
Phoebe,Rachel and Joey! It's Rachel and Joey!!!
Monica,What?
Phoebe,Get over here!
Rachel,ooh...
Chandler,Wow!
Monica,"Oh my God, I love how thin these walls are!"
Monica,Thank you. OPENING CREDITS
Rachel,"Hey, you know, before you said that nothing could happen between us? What changed?"
Joey,"Well, I only said that because of Ross, you know. Then I saw him kissing Charlie..."
Rachel,"What? Ross and Charlie? Wow! She's really making her way through the group, huh? Ah, who am I to talk?"
Monica,I can't believe this. Rachel and Joey?
Chandler,How about the dinosaur twins in the other room? No-one is manning that wall!
Monica,I'm on it!
Chandler,Anything?
Monica,I think I hear curtains closing...
Phoebe,We've got shoes being kicked off over here.
Monica,"Bedsprings, unmistakable!"
Chandler,You do realise that's your brother?
Monica,"Not until you said it. Somebody switch! Wait a minute... Ross and Charlie, Joey and Rachel, Phoebe and Mike! We're the only people leaving with the same person we came with."
Chandler,That's not true. I came with Monica and I'm leaving with Weird Al.
Monica,"Okay, I've had it with the hair jokes. Tomorrow morning, before we leave, I'm going to the salon."
Chandler,Okay Buckwheat!
Phoebe,"You gotta hear this, it's great... It's like free porn!"
Ross,Weh...*sigh*
Charlie,uhm... Is everything okay?
Ross,"Yeah, It's just... I don't think I can do this..."
Charlie,"Ooh... Is it because of what might be on the bedspread, because I saw that news report too, with the infra red and the ... I could just..."
Ross,"No, NO! Look, I need to talk to Joey. I mean, you guys just broke up. Before anything more happens between us, I need to know he's okay with it."
Charlie,I uhm... I completely understand.
Ross,"Alright, I'm gonna go find them... I just need a... need a before I can... you know. Grandma... grandma... grandma... Okay, I see you later."
Charlie,Okay...
Phoebe,That's the door. He's gone...
Chandler,And she's... turning on the TV... and watching... Miss Congeniality!
Monica,"Honey, if you know it through a wall, you know it too well!"
Ross,"Hey, what are you guys doing?"
Phoebe,"Oh, we're just... we're sad to go so we're just saying goodbye to the hotel. I love you... Paradise Hotel, Golf resort and Spa..."
Monica,"Yeah, we had a great time, thank you!"
Chandler,Bye!
Ross,"Okay, uhm... Hey, you guys seen Joey anywhere?"
Chandler,He's probably in his room with his current girlfriend Charlie. That's the situation as we know it...
Ross,"Well, if you see him could you please tell him I'm looking for him?"
Chandler,You got it!
Ross,Thanks! Thank you!
Monica,"Other wall, people! Other wall!"
Ross,"Rach, you there?"
Joey,"Oh my God, it's Ross. What are we gonna do?"
Rachel,"Oh, ju-ju-just stay calm. Just be calm. For all he knows we're just hanging out together. Right? Just be nonchalant. That's not nonchalant!"
Joey,No idea what it means.
Rachel,"Oh... okay, just hide!"
Ross,Rach?
Rachel,"Coming! Try under the bed, try under the bed!"
Rachel,There's no room under the bed.
Ross,Is everything okay?
Rachel,Yeah...
Ross,Hey.
Rachel,Hi...
Ross,You know where Joey is?
Rachel,...I really don't...
Ross,Can I talk to you for a minute?
Rachel,"Yeah, sure..."
Joey,I don't believe this... Have you guys been...
Phoebe,Shhh... This is the listening side of the wall.
Ross,"And then she told me that she and Joey had broken up, and that part of the reason was that she had feelings for me."
Rachel,Uh-huh... right... yeah...
Ross,And you know I wanted to ask Charlie out since the day I met her.
Rachel,"Oh, I know... I know it's been really hard for you."
Ross,"Anyway, one thing lead to another, and... oh... before you know it, we were kissing. I mean, how angry do you think Joey is gonna be?"
Rachel,"That is hard to say, Ross. That is hard to say."
Ross,"You know, I gotta go find him. He's gotta be here someplace."
Rachel,You would think!
Rachel,Joey!
Joey,Is he gone?
Rachel,How are you doing this?
Joey,Pssst...
Rachel,"How... wha... Hey! What are you... What is this? Have you guys been listening this entire time? Monica, Chandler and Phoebe: YE-AH!"
Phoebe,"Now, what is this?"
Rachel,"Ah, what is this? Well, lets see, we kissed for ten minutes and now we're talking to our friends about it, so I guess this is sixth grade!"
Phoebe,Oh no... Have you thought about it how complicated this could get? What about Ross?
Joey,"Well, he's with Charlie now."
Monica,"Yeah, but he wants to talk to you before anything really happens with her. And as his friend, I mean, don't you think he deserves the same from you?"
Joey,"You're a pain in my ass, Geller!"
Rachel,"All right, look you guys... Look, we appreciate all the advice, but this is between Joey and me and I think we can handle it..."
Chandler,"Okay, well we'll go back in there, but will you do one thing for us? The people that care about you?"
Rachel,Sure...
Chandler,Enunciate!
Rachel,Get out!
Rachel,Are they right?
Joey,"Probably, yeah... I mean, maybe we should... hold off until we talk to Ross."
Rachel,"Yeah... Yeah, we can wait, we don't have to do anything tonight."
Joey,"Yeah, I think that'd be best... So, so I'm gonna... I'm gonna take off..."
Rachel,Although...
Joey,I like although!
Rachel,"I mean, you know... Ross and I haven't dated in like... six years..."
Joey,Six years? Wow... It's almost as long as highschool...
Rachel,"Plus, you know, he is with Charlie now."
Joey,Absolutely! He's not thinking about you.
Rachel,No...
Joey,I'm thinking about you...
Rachel,Yeah...
Joey,Let's forget about Ross...
Rachel,Forgotten.
Joey,What's wrong?
Rachel,"Nothing... Joey's voice, but she sees Ross: Seriously... What is it?"
Rachel,"Nothing... It's really... It's nothing... Come here, come here... Joey's voice/Ross: What's wrong?"
Rachel,"Sorry, I just uhm... I can't seem to get Ross out of my head..."
Joey,"Well, maybe I can help. Rachel/Ross: Ooh, your lips are so soft... Do that again..."
Joey,Yeah... we really need to talk to Ross...
Both,Yeah COMMERCIAL BREAK
Ross,Hey!
Chandler,Hey!
Ross,You guys ready to go?
Chandler,"Not quite. Monica's still at the salon, and I'm just finishing packing."
Ross,Dude! You're not taking your Bible?
Chandler,"You're not supposed to take that. Besides, it's a New Testament, what are you gonna do with it?"
Ross,Learn about Jesus...
Ross,Hey!
Charlie,"So, did you talk to Joey?"
Ross,"Uh, no... no. I couldn't find him. I'm just gonna talk to him on the plane."
Charlie,"Yeah, sounds like a good idea... Dr. Geller!"
Ross,Stop it!
Charlie,PHD
Ross,You're filthy!
Phoebe,"Hey, have you guys seen Monica?"
Ross,"Uh, actually I think she went to the salon."
Phoebe,"Oh yeah, oh, she went to the salon alright..."
Monica,Check it out!
Phoebe,Who's day just got better? CHANDLER!
Chandler,Hey!... aaaaaahhhh!
Monica,What do you think?
Chandler,I think.... I think I can see your scalp.
Monica,Don't you just love it?
Ross,Ye... Yeah... Yeah... You got shellfish in your head.
Charlie,It's so... something... You go girlfriend!
Ross,"You've never said that in your life, have you?"
Charlie,Not once.
Ross,I thought so.
Monica,And listen to this...
Chandler,What d'ya know... It's a treat for the eyes and the ears.
Joey,"Whoo, whoo. Wow, it's uhm... kinda weird that I'm sitting next to Charlie after we broke up."
Chandler,"Yeah, it's almost if Air Barbados doesn't care about your social life."
Joey,"Look, does someone mind switching to sit with Charlie?"
Ross,"Oh, I uh, I mean, I... dude, I spent the whole conference with Charlie."
Joey,I understand...
Ross,"No, I'll do it."
Chandler,Wish I could switch with someone. I really don't wanna sit with Allen Iverson over there.
Phoebe,"Uhm... You know, once we're in the air and the captain turns off the seatbelt sign... you feel free to roam about my cabin..."
Mike,"You should be careful when checking your overhead bins, 'cause items may shift during..."
Phoebe,Aaah... you're not good at this...
Mike,"You don't have to go home tonight, do you?"
Phoebe,"No, I think I can come over. It's Saturday, right?"
Mike,Oh...
Phoebe,What?
Mike,Uhm... I can't do anything tonight.
Phoebe,Why not?
Mike,I have a date.
Phoebe,You have a... You have a date? With who?
Mike,"Oh, it's... my girlfriend."
Phoebe,You have... have a girlfriend?
Mike,"Yeah... Well, when... you and I broke up I started seeing someone."
Phoebe,For how long?
Mike,Three months.
Phoebe,"Three months? Okay... This is probably none of my business, but uhm, how long do you think you're gonna keep seeing her?"
Mike,I'll tell her that it's over tonight at dinner. I promise.
Phoebe,"Oh, okay... good. You do that. And then when you get home, maybe there'll be a special delivery package waiting for you."
Mike,Maybe I'll sign for it. Tear it open. Pull out the packing material...
Phoebe,"You know what, we're gonna have sex. Let's just leave it there."
Ross,"Right, I'm gonna go talk to Joey. I think this is the right time. He's always in a good mood after the flight attendant says ""duty free""."
Charlie,Okay... Good luck.
Rachel,Ross is coming over. I think now would be a really good time to talk to him.
Joey,I guess so. I'm just... really nervous.
Rachel,"Okay, well keep in mind that by the time you're done, they'll probably be serving dinner."
