,Speaker,Dialogue
454,Sandy,"Y'know, when I saw you at the store last week, it was probably the first time I ever mentally undressed an elf."
455,Joey,"Wow, that's, uh, dirty."
456,Sandy,Yeah.
457,Joey,"Hey, kids..."
458,Ross,"Look at him. I'm not saying he has to spend the whole evening with me, but at least check in."
459,Janice,"There you are! Haaah, you got away from me!"
460,Chandler,But you found me!
461,Janice,"Here, Ross, take our picture. Smile! You're on Janice Camera!"
462,Chandler,Kill me. Kill me now.
463,Monica,"Hey everybody! It's Fun Bobby! Fun Bobby: Hey, sorry I'm late. But my, uh, grandfather, he- died about two hours ago. But I-I-I couldn't get a flight out 'til tomorrow, so here I am!"
464,Joey,"Hey Fun Bobby! Whoah! Who died? Fun Bobby: It's gonna be an open casket, y'know, so at least I'll- I get to see him again."
465,Janice,"Oh, I'm gonna blow this one up, and I'm gonna write 'Reunited' in glitter."
466,Chandler,"Alright, Janice, that's it! Janice... Janice... Hey, Janice, when I invited you to this party I didn't necessarily think that it meant that we-"
467,Janice,"Oh, no. Oh, no."
468,Chandler,I'm sorry you misunderstood...
469,Janice,"Oh my God. You listen to me, Chandler, you listen to me. One of these times is just gonna be your last chance with me."
470,Chandler,"Oh, will you give me the thing."
471,Phoebe,"Hi, Max!"
472,Max,Yoko. I've decided to go to Minsk without you.
473,David,Wow.
474,Max,It won't be the same- but it'll still be Minsk. Happy New Year.
475,Phoebe,Are you alright?
476,David,"Yeah, I'm fine, I'm fine."
477,Phoebe,You're going to Minsk.
478,David,"No, I'm... not going to Minsk."
479,Phoebe,"Oh, you are so going to Minsk. You belong in Minsk. You can't stay here just 'cause of me."
480,David,"Yes I can. Because if I go it means I have to break up with you, and I can't break up with you."
481,Phoebe,"Oh yes, yes, yes you can. Just say, um, 'Phoebe, my work is my life and that's what I have to do right now'. And I say 'your work?! Your work?! How can you say that?!'. And then you say, um, 'it's tearing me apart, but I have no choice. Can't you understand that?'. And I say 'no! No! I can't understand that!'."
482,David,"Uh, ow."
483,Phoebe,"Ooh, sorry. Um, and, and then you put your arms around me. And then you put your arms around me. And, um, and then you tell me that you love me and you'll never forget me."
484,David,I'll never forget you.
485,Phoebe,"And then you say that it's almost midnight and you have to go because you don't wanna start the new year with me if you can't finish it. I'm gonna miss you. You scientist guy. Dick Clark: Hi, this is Dick Clark, live in Times Square. We're in a virtual snowstorm of confetti here in Times Square..."
486,Joey,"There y'go, kids."
487,Chandler,And then the peacock bit me. Please kiss me at midnight.
488,Joey,You seen Sandy?
489,Chandler,"Ooh. Uh, I don't know how to tell you this, but she's in Monica's bedroom, getting it on with Max, that scientist geek. Ooh, look at that, I did know how to tell you."
490,Rachel,"Vrrbddy, the bll is drrbing."
491,Rachel,The bll is drrbing! Dick Clark: In twenty seconds it'll be midnight...
492,Chandler,And the moment of joy is upon us.
493,Joey,Looks like that no date pact thing worked out.
494,Phoebe,Everybody looks so happy. I hate that.
495,Monica,Not everybody's happy. Hey Bobby!
496,Chandler,"Y'know, I uh.. just thought I'd throw this out here. I'm no math whiz, but I do believe there are three girls and three guys right here."
497,Phoebe,I dunno. I don't feel like kissing anyone tonight.
498,Rachel,I can't kiss anyone.
499,Monica,So I'm kissing everyone?
500,Joey,"Nonono, you can't kiss Ross, that's your brother."
501,Ross,Perfect. Perfect. So now everybody's getting kissed but me.
502,Chandler,"Alright, somebody kiss me. Somebody kiss me, it's midnight! Somebody kiss me!"
503,Joey,Alrightalrightalright. There. Closing Credits
504,Ross,"I wanted this to work so much. I mean I'm still in there, changing his diapers, pickin' his fleas... but he's just phoning it in. Just so hard to accept the fact that something you love so much doesn't love you back."
505,Rachel,...I think that bitch cracked my tooth. End
506,Monica,"Oh, the way you crushed Mike at ping pong was such a turn-on.You wanna...?"
507,Chandler,"You know, I'd love to, but I'm a little tired."
508,Monica,I'll put a pillowcase over my head.
509,Chandler,You're on!
510,Phoebe,Hey!
511,Monica,What's up?
512,Phoebe,"Well, okay, Mike's taking a shower, which by the way there's no law against. And then we're gonna grab some food, so if you want..."
513,Ross,... finally...
514,Phoebe,Is that Ross?
515,Monica,"Yeah, you can hear everything through these stupid walls."
516,Phoebe,Sounds like he's with someone.
517,Chandler,"He could be alone. This morning I heard him do push-ups, and then talk to his triceps."
518,Monica,"Wait a minute, I think Phoebe's right. You know I hear someone else in there with him."
519,Charlie,Ooh... Dr. Geller!
520,Ross,"God, you're amazing... I didn't even have to ask you to call me that."
521,Monica,"Oh my God, that's Charlie!"
522,Chandler,She's cheating on Joey with Ross!
523,Phoebe,Oh that tart... floozy... giant...
524,Monica,I'm not sure about this.
525,Phoebe,"Yeah, you're right. This is none of our business."
526,Monica,No I'm not sure that it's the best way to hear everything. Someone get me a glass!
527,Phoebe,"Oh, I'm not gonna do this, okay? I'm not gonna eavesdrop on my friend."
528,Rachel,Ooh... I love Barbados!
529,Joey,Ooh... I can't believe I'm kissing you. I'm kissing Rachel!
530,Rachel,"I know, I'm her!"
531,Phoebe,Rachel and Joey! It's Rachel and Joey!!!
532,Monica,What?
533,Phoebe,Get over here!
534,Rachel,ooh...
535,Chandler,Wow!
536,Monica,"Oh my God, I love how thin these walls are!"
537,Monica,Thank you. OPENING CREDITS
538,Rachel,"Hey, you know, before you said that nothing could happen between us? What changed?"
539,Joey,"Well, I only said that because of Ross, you know. Then I saw him kissing Charlie..."
540,Rachel,"What? Ross and Charlie? Wow! She's really making her way through the group, huh? Ah, who am I to talk?"
541,Monica,I can't believe this. Rachel and Joey?
542,Chandler,How about the dinosaur twins in the other room? No-one is manning that wall!
543,Monica,I'm on it!
544,Chandler,Anything?
545,Monica,I think I hear curtains closing...
546,Phoebe,We've got shoes being kicked off over here.
547,Monica,"Bedsprings, unmistakable!"
548,Chandler,You do realise that's your brother?
549,Monica,"Not until you said it. Somebody switch! Wait a minute... Ross and Charlie, Joey and Rachel, Phoebe and Mike! We're the only people leaving with the same person we came with."
550,Chandler,That's not true. I came with Monica and I'm leaving with Weird Al.
551,Monica,"Okay, I've had it with the hair jokes. Tomorrow morning, before we leave, I'm going to the salon."
552,Chandler,Okay Buckwheat!
553,Phoebe,"You gotta hear this, it's great... It's like free porn!"
554,Ross,Weh...*sigh*
555,Charlie,uhm... Is everything okay?
556,Ross,"Yeah, It's just... I don't think I can do this..."
557,Charlie,"Ooh... Is it because of what might be on the bedspread, because I saw that news report too, with the infra red and the ... I could just..."
558,Ross,"No, NO! Look, I need to talk to Joey. I mean, you guys just broke up. Before anything more happens between us, I need to know he's okay with it."
559,Charlie,I uhm... I completely understand.
560,Ross,"Alright, I'm gonna go find them... I just need a... need a before I can... you know. Grandma... grandma... grandma... Okay, I see you later."
561,Charlie,Okay...
562,Phoebe,That's the door. He's gone...
563,Chandler,And she's... turning on the TV... and watching... Miss Congeniality!
564,Monica,"Honey, if you know it through a wall, you know it too well!"
565,Ross,"Hey, what are you guys doing?"
566,Phoebe,"Oh, we're just... we're sad to go so we're just saying goodbye to the hotel. I love you... Paradise Hotel, Golf resort and Spa..."
567,Monica,"Yeah, we had a great time, thank you!"
568,Chandler,Bye!
569,Ross,"Okay, uhm... Hey, you guys seen Joey anywhere?"
570,Chandler,He's probably in his room with his current girlfriend Charlie. That's the situation as we know it...
571,Ross,"Well, if you see him could you please tell him I'm looking for him?"
572,Chandler,You got it!
573,Ross,Thanks! Thank you!
574,Monica,"Other wall, people! Other wall!"
575,Ross,"Rach, you there?"
576,Joey,"Oh my God, it's Ross. What are we gonna do?"
577,Rachel,"Oh, ju-ju-just stay calm. Just be calm. For all he knows we're just hanging out together. Right? Just be nonchalant. That's not nonchalant!"
578,Joey,No idea what it means.
579,Rachel,"Oh... okay, just hide!"
580,Ross,Rach?
581,Rachel,"Coming! Try under the bed, try under the bed!"
582,Rachel,There's no room under the bed.
583,Ross,Is everything okay?
584,Rachel,Yeah...
585,Ross,Hey.
586,Rachel,Hi...
587,Ross,You know where Joey is?
588,Rachel,...I really don't...
589,Ross,Can I talk to you for a minute?
590,Rachel,"Yeah, sure..."
591,Joey,I don't believe this... Have you guys been...
592,Phoebe,Shhh... This is the listening side of the wall.
593,Ross,"And then she told me that she and Joey had broken up, and that part of the reason was that she had feelings for me."
594,Rachel,Uh-huh... right... yeah...
595,Ross,And you know I wanted to ask Charlie out since the day I met her.
596,Rachel,"Oh, I know... I know it's been really hard for you."
597,Ross,"Anyway, one thing lead to another, and... oh... before you know it, we were kissing. I mean, how angry do you think Joey is gonna be?"
598,Rachel,"That is hard to say, Ross. That is hard to say."
599,Ross,"You know, I gotta go find him. He's gotta be here someplace."
600,Rachel,You would think!
601,Rachel,Joey!
602,Joey,Is he gone?
603,Rachel,How are you doing this?
604,Joey,Pssst...
605,Rachel,"How... wha... Hey! What are you... What is this? Have you guys been listening this entire time? Monica, Chandler and Phoebe: YE-AH!"
606,Phoebe,"Now, what is this?"
607,Rachel,"Ah, what is this? Well, lets see, we kissed for ten minutes and now we're talking to our friends about it, so I guess this is sixth grade!"
608,Phoebe,Oh no... Have you thought about it how complicated this could get? What about Ross?
609,Joey,"Well, he's with Charlie now."
610,Monica,"Yeah, but he wants to talk to you before anything really happens with her. And as his friend, I mean, don't you think he deserves the same from you?"
611,Joey,"You're a pain in my ass, Geller!"
612,Rachel,"All right, look you guys... Look, we appreciate all the advice, but this is between Joey and me and I think we can handle it..."
613,Chandler,"Okay, well we'll go back in there, but will you do one thing for us? The people that care about you?"
614,Rachel,Sure...
615,Chandler,Enunciate!
616,Rachel,Get out!
617,Rachel,Are they right?
618,Joey,"Probably, yeah... I mean, maybe we should... hold off until we talk to Ross."
619,Rachel,"Yeah... Yeah, we can wait, we don't have to do anything tonight."
620,Joey,"Yeah, I think that'd be best... So, so I'm gonna... I'm gonna take off..."
621,Rachel,Although...
622,Joey,I like although!
623,Rachel,"I mean, you know... Ross and I haven't dated in like... six years..."
624,Joey,Six years? Wow... It's almost as long as highschool...
625,Rachel,"Plus, you know, he is with Charlie now."
626,Joey,Absolutely! He's not thinking about you.
627,Rachel,No...
628,Joey,I'm thinking about you...
629,Rachel,Yeah...
630,Joey,Let's forget about Ross...
631,Rachel,Forgotten.
632,Joey,What's wrong?
633,Rachel,"Nothing... Joey's voice, but she sees Ross: Seriously... What is it?"
634,Rachel,"Nothing... It's really... It's nothing... Come here, come here... Joey's voice/Ross: What's wrong?"
635,Rachel,"Sorry, I just uhm... I can't seem to get Ross out of my head..."
636,Joey,"Well, maybe I can help. Rachel/Ross: Ooh, your lips are so soft... Do that again..."
637,Joey,Yeah... we really need to talk to Ross...
638,Both,Yeah COMMERCIAL BREAK
639,Ross,Hey!
640,Chandler,Hey!
641,Ross,You guys ready to go?
642,Chandler,"Not quite. Monica's still at the salon, and I'm just finishing packing."
643,Ross,Dude! You're not taking your Bible?
644,Chandler,"You're not supposed to take that. Besides, it's a New Testament, what are you gonna do with it?"
645,Ross,Learn about Jesus...
646,Ross,Hey!
647,Charlie,"So, did you talk to Joey?"
648,Ross,"Uh, no... no. I couldn't find him. I'm just gonna talk to him on the plane."
649,Charlie,"Yeah, sounds like a good idea... Dr. Geller!"
650,Ross,Stop it!
651,Charlie,PHD
652,Ross,You're filthy!
653,Phoebe,"Hey, have you guys seen Monica?"
654,Ross,"Uh, actually I think she went to the salon."
655,Phoebe,"Oh yeah, oh, she went to the salon alright..."
